,birthday,entry_year,department,marital_status,performance_rating,job_satisfaction,working_hours,salary,last_year_salary,num_companies_worked,attrition
58,1990-12-8,2011,rnd,,very high,very high,9.0,5321160,4792974,3.0,no
59,1984-8-31,2014,rnd,,high,high,8.67,5522920,5059472,1.0,no
60,1989-11-19,2012,rnd,married,very high,very high,8.1,3121578,2807426,1.0,no
61,1983-1-8,2011,rnd,single,high,very high,6.67,3804000,3600908,1.0,no
62,1971-3-3,1992,rnd,,high,high,8.1,4140720,3891288,5.0,no
63,1962-1-27,1993,sales,single,high,low,7.8,9071244,8583690,7.0,no
64,1985-5-10,2004,rnd,,high,high,7.5,5376825,5042033,,no
65,1966-7-26,2000,rnd,,high,high,7.8,2945358,2745742,2.0,no
66,1985-9-28,2015,rnd,single,high,medium,7.8,8798400,8255981,1.0,no
67,1976-7-9,1996,rnd,,high,low,8.1,5568345,5113264,2.0,no
68,1986-8-12,2016,rnd,married,high,low,7.8,7163442,6723711,4.0,no
69,1985-2-1,2019,rnd,married,high,high,7.2,6661656,6112171,0.0,yes
70,1962-7-23,2001,sales,single,high,high,8.33,5644000,5330059,7.0,no
71,1992-8-5,2015,rnd,married,very high,medium,8.1,7476867,6699701,0.0,no
72,1990-3-12,2020,rnd,single,high,medium,7.5,7731900,7126175,1.0,no
73,1989-8-22,2011,rnd,married,high,medium,8.1,6390171,5867386,1.0,no
74,1985-11-3,2016,rnd,married,high,very high,7.8,5232942,4920490,3.0,no
75,1990-1-3,2010,rnd,single,very high,very high,8.1,5708313,5103086,1.0,no
76,1986-5-15,2005,sales,single,high,low,8.1,3205170,2984607,0.0,no
77,1976-3-1,2004,rnd,married,high,low,8.33,5188750,4847486,4.0,no
78,1984-5-26,2005,rnd,single,high,high,8.67,3244280,3041132,4.0,no
79,1975-7-31,2005,hr,,very high,medium,8.1,7885593,7100299,8.0,no
80,1991-7-27,2011,rnd,married,high,very high,8.67,5592080,5254232,1.0,no
81,1986-9-15,2015,rnd,single,high,high,7.2,2543400,2326777,1.0,no
82,1966-10-10,1997,sales,married,high,very high,8.1,7038738,6567824,3.0,no
83,1983-12-13,2004,rnd,,high,very high,6.93,6371872,6009499,7.0,no
84,1987-3-31,2016,rnd,married,high,medium,7.2,7949880,7384246,1.0,no
85,1965-7-17,1984,rnd,single,high,very high,7.8,4610736,4363747,4.0,no
86,1998-4-29,2018,sales,,high,low,9.0,6953850,6507439,3.0,no
87,1970-4-30,2011,rnd,married,very high,very high,6.67,7797000,6972813,,no
88,1991-5-23,2010,rnd,married,high,very high,7.8,9475830,8619092,1.0,no
89,1975-7-13,2012,sales,single,high,very high,7.2,5618376,5190665,1.0,yes
90,1981-11-29,1999,rnd,married,very high,medium,7.2,6744600,6072933,1.0,no
91,1970-4-13,2010,sales,single,very high,very high,6.67,5684200,5104346,,no
92,1991-7-27,2010,sales,,high,medium,6.93,5327504,5007993,1.0,no
93,1975-3-22,2000,rnd,married,high,low,9.0,4202550,3935708,2.0,no
94,1989-12-2,2009,sales,single,high,high,6.67,6985800,6445059,1.0,no
95,1967-10-13,2005,rnd,married,high,high,7.2,5355720,5040677,,no
96,1997-9-21,2017,sales,married,very high,high,6.93,2921360,2637558,0.0,no
97,1993-6-28,2016,sales,married,high,high,9.0,4779000,4436913,1.0,no
98,1963-12-12,1983,sales,single,high,high,7.2,3132432,2940974,,no
99,1977-12-20,2004,rnd,married,high,medium,7.2,5659416,5336554,4.0,no
100,1984-11-26,2014,hr,,very high,low,9.0,6730830,6062718,4.0,yes
101,1989-7-28,2020,rnd,single,high,low,8.33,7244750,6782203,1.0,no
102,2001-9-7,2020,rnd,single,high,very high,8.33,6390250,5854021,1.0,yes
103,1987-1-1,2005,rnd,single,high,high,6.93,3245008,3025648,,no
104,1984-9-27,2004,rnd,,high,very high,8.33,10245250,9534899,5.0,no
105,1962-9-20,1991,hr,married,very high,very high,8.33,3198750,2891656,9.0,no
106,1971-9-3,1993,rnd,married,high,medium,6.93,5921552,5397458,3.0,no
107,1996-7-6,2015,sales,single,high,high,8.33,4821500,4553740,1.0,yes
108,1996-8-27,2019,rnd,married,high,very high,6.67,5083000,4812991,1.0,no
109,1999-9-30,2020,rnd,single,high,very high,7.8,5591196,5199177,1.0,no
110,1970-5-1,1998,rnd,single,very high,low,8.67,2978300,2704103,3.0,no
111,1987-3-10,2012,rnd,single,very high,high,7.8,6291090,5613035,1.0,yes
112,1967-12-24,1998,hr,single,high,very high,7.2,2754000,2586887,,no
113,1997-11-22,2015,rnd,married,high,high,9.0,5690250,5347979,0.0,no
114,1987-8-9,2009,rnd,,high,medium,6.93,3747328,3475540,6.0,no
115,1984-4-17,2009,sales,single,high,very high,7.8,8312850,7809892,2.0,no
116,1987-1-26,2007,rnd,single,high,low,6.93,3597360,3380977,2.0,no
117,1985-4-12,2011,sales,married,high,very high,9.0,10137960,9466766,0.0,no
118,1985-7-2,2014,rnd,,very high,very high,9.0,4136130,3711197,5.0,no
119,1978-3-17,1996,sales,married,high,very high,7.5,8453700,7954926,1.0,no
120,1991-5-17,2011,rnd,,very high,high,6.67,7547400,6685031,1.0,no
121,1988-8-17,2013,sales,married,high,medium,8.67,9848280,9208302,,no
122,1965-11-17,2014,rnd,married,high,medium,8.1,7016868,6428057,,yes
123,1970-2-2,1998,rnd,single,high,high,9.0,5451570,5115962,7.0,no
124,1990-12-22,2009,sales,married,high,high,9.0,8463150,7756530,4.0,yes
125,1995-7-5,2016,rnd,married,high,medium,6.93,3664128,3339830,1.0,no
126,1963-1-1,1981,rnd,married,high,very high,8.33,9340750,8778075,1.0,yes
127,2002-3-30,2021,sales,single,high,high,6.93,3990896,3990896,1.0,yes
128,1999-2-21,2018,rnd,married,high,very high,8.33,9844750,9200700,0.0,no
129,1972-12-26,2005,rnd,married,high,low,7.5,8525700,7948629,1.0,no
130,1978-6-23,2003,rnd,single,high,high,8.67,7504640,7065850,,no
131,1971-4-23,2005,sales,single,high,very high,6.67,6196000,5866868,4.0,no
132,1990-11-24,2017,sales,married,high,high,6.67,5482800,5194012,3.0,yes
133,1980-11-17,2009,sales,,high,high,8.1,9534348,8938171,3.0,no
134,1995-6-24,2013,hr,married,very high,high,8.33,5866000,5238903,,no
135,1985-5-20,2014,rnd,,very high,medium,8.67,8964800,8137981,6.0,no
136,1970-2-6,2003,rnd,single,high,very high,7.8,5162508,4790746,2.0,yes
137,1982-6-11,2004,sales,married,high,high,8.33,4580000,4266418,4.0,no
138,1996-1-9,2015,sales,married,high,high,9.0,4527090,4146446,2.0,no
139,1991-12-27,2009,hr,married,high,very high,7.2,4180032,3800374,0.0,no
140,1989-6-16,2011,rnd,single,very high,low,8.33,4011750,3598627,7.0,yes
141,1976-3-20,2012,rnd,single,high,very high,8.33,8423750,7899981,5.0,no
142,1983-12-27,2002,rnd,single,very high,high,7.8,3015324,2734987,3.0,no
143,1991-4-19,2016,rnd,single,high,high,7.5,6786450,6333597,,no
144,1989-10-3,2012,sales,,high,very high,7.2,3136752,2887290,0.0,no
145,1991-3-20,2013,rnd,,high,low,8.33,8298000,7753690,5.0,no
146,1991-7-20,2015,rnd,single,high,very high,8.67,3481660,3259981,,no
147,1980-9-1,2000,rnd,,high,low,8.67,9645480,9035578,4.0,no
148,1980-8-7,2014,rnd,married,very high,low,6.93,7699744,6966202,2.0,no
149,2002-2-8,2020,rnd,single,high,medium,6.93,6424704,5996550,1.0,no
150,1981-1-11,2001,rnd,,high,medium,7.8,4908852,4633177,,no
151,1986-12-25,2011,sales,married,high,medium,6.67,7679200,7202401,,no
152,1968-9-18,2008,sales,married,very high,high,8.33,3528250,3205460,,no
153,1976-7-31,2001,rnd,,high,medium,8.33,5807500,5316276,8.0,no
154,1989-10-3,2012,sales,single,high,very high,6.67,3443400,3203460,1.0,no
155,1992-7-28,2011,rnd,married,high,high,8.67,4014400,3765147,1.0,no
156,1970-10-16,2011,rnd,married,high,high,9.0,3685770,3386411,2.0,no
157,1963-9-20,2012,rnd,married,very high,medium,6.67,5826800,5278854,4.0,no
158,1981-12-17,2006,sales,married,high,very high,7.2,5616000,5317174,7.0,no
159,1987-2-1,2015,sales,married,high,high,8.33,7715750,7055367,6.0,no
160,1999-12-5,2019,rnd,married,very high,very high,8.33,7944750,7082144,1.0,no
161,1994-5-27,2015,rnd,,high,medium,9.0,6136830,5613638,,no
162,1993-7-9,2016,rnd,married,high,very high,7.8,3944304,3727371,1.0,no
163,1964-9-3,2009,rnd,,high,very high,7.5,7485975,6914172,3.0,no
164,1994-3-16,2020,rnd,,high,high,7.5,6997950,6506694,1.0,no
165,1971-3-20,2000,rnd,single,high,medium,6.67,4121200,3818754,3.0,no
166,1980-8-22,2008,rnd,,high,high,8.1,5588271,5264008,,no
167,1991-8-1,2009,sales,married,high,very high,6.93,3567408,3362624,2.0,no
168,1983-8-20,2009,sales,single,very high,very high,7.2,5055264,4553471,4.0,no
169,1989-11-17,2013,rnd,single,very high,high,8.1,3960414,3590583,3.0,no
170,1994-8-4,2015,rnd,married,high,medium,7.8,4699422,4337661,0.0,no
171,2002-6-8,2020,sales,single,very high,low,8.1,9937485,8992385,0.0,yes
172,1985-4-30,2008,rnd,single,high,medium,8.67,3048500,2868906,4.0,no
173,1991-3-16,2009,rnd,,high,low,7.5,6068250,5745904,1.0,no
174,1976-9-3,2012,sales,,high,low,8.67,3109600,2938574,4.0,no
175,1965-9-29,2002,rnd,,high,low,6.67,5512400,5053075,4.0,no
176,1988-2-14,2017,rnd,single,high,very high,9.0,9615240,8956907,0.0,no
177,2002-2-2,2020,rnd,single,very high,very high,8.1,4803138,4319757,1.0,yes
178,1975-6-3,1997,sales,,very high,low,6.67,7457000,6600867,1.0,no
179,1983-9-4,2019,rnd,single,high,very high,7.2,6402672,6036270,1.0,no
180,1990-1-4,2014,rnd,married,very high,very high,6.93,8068736,7225518,8.0,no
181,1987-1-14,2012,rnd,single,high,medium,8.33,9507000,8838787,2.0,no
182,1980-5-16,2017,sales,single,very high,medium,8.1,6862563,6156973,1.0,yes
183,1971-4-24,2016,rnd,married,high,high,6.67,6780400,6281637,2.0,no
184,1968-8-7,2016,rnd,,high,low,6.93,4693728,4443555,1.0,no
185,1988-3-17,2013,rnd,married,high,medium,6.93,5864976,5490008,1.0,no
186,1981-1-16,2000,rnd,married,high,high,9.0,4932900,4592589,,no
187,1966-12-27,1985,rnd,single,high,medium,8.67,6290440,5946719,,no
188,1987-3-22,2011,rnd,married,high,high,7.5,3913200,3598013,1.0,no
189,1970-7-22,2000,rnd,single,high,medium,8.67,9985560,9150989,,no
190,1969-6-6,1987,rnd,married,high,high,6.67,5207600,4864642,0.0,no
191,1994-3-22,2014,rnd,single,high,medium,7.5,9108225,8398547,1.0,no
192,1986-8-27,2013,rnd,married,high,high,6.93,4280016,4001884,3.0,yes
193,1978-11-2,2014,rnd,,high,very high,7.2,3173256,2956816,4.0,no
194,1976-5-30,1999,rnd,married,very high,very high,8.67,6885840,6166239,9.0,no
195,1984-1-28,2013,rnd,married,high,low,7.5,6010650,5661345,1.0,no
196,1986-1-5,2011,rnd,single,high,medium,8.33,3849500,3636406,5.0,no
197,1979-12-29,2010,rnd,,high,high,8.67,3708380,3419437,,no
198,1983-3-4,2007,rnd,married,high,high,8.1,8490906,7902928,9.0,no
199,1983-3-17,2012,rnd,married,high,very high,7.2,4722624,4317235,3.0,no
200,1994-1-12,2015,rnd,married,high,low,6.67,4712600,4291203,,no
201,1972-12-30,2014,rnd,,high,very high,7.5,8284500,7703645,,no
202,1987-5-6,2016,rnd,,high,high,7.2,3519720,3241591,,no
203,1981-3-28,2006,rnd,married,high,very high,7.8,9482382,8784050,8.0,no
204,1983-9-5,2004,rnd,married,high,low,7.5,6470325,5892827,7.0,yes
205,1992-8-29,2011,sales,married,very high,very high,8.33,3371000,3036936,,yes
206,1999-1-14,2017,rnd,,high,medium,8.1,5936490,5494206,,no
207,1985-5-31,2013,rnd,single,high,very high,8.67,7391800,6919217,,no
208,1981-3-28,2016,rnd,married,high,very high,7.2,5388768,5036231,9.0,no
209,1975-1-20,2004,rnd,,high,low,6.93,8211424,7597542,7.0,no
210,1989-5-23,2007,sales,married,high,very high,6.93,2702752,2555310,1.0,yes
211,1991-1-3,2009,rnd,single,very high,high,6.93,7225920,6489375,1.0,no
212,1994-2-25,2014,sales,single,high,high,8.33,9014750,8399096,1.0,no
213,1970-10-31,2005,rnd,married,high,medium,7.2,6895584,6378303,5.0,no
214,1991-6-26,2013,rnd,single,high,low,8.1,8598069,8122113,5.0,yes
215,1980-3-8,2005,sales,single,high,very high,7.8,7221708,6618134,3.0,no
216,1991-8-18,2012,sales,single,high,low,7.5,4842450,4497910,,yes
217,1992-6-23,2014,rnd,single,high,high,8.33,8566500,7978485,0.0,yes
218,1976-2-27,1998,sales,single,high,very high,7.2,4948344,4654198,6.0,no
219,1967-10-2,2005,sales,married,high,low,6.67,4323800,4025134,,no
220,1985-10-17,2005,rnd,single,high,medium,6.67,4875400,4500507,8.0,no
221,1988-8-1,2014,rnd,married,very high,medium,8.67,4805060,4337479,6.0,no
222,1984-9-11,2011,rnd,,high,very high,7.5,4130100,3858103,1.0,no
223,1983-6-16,2004,sales,,high,high,7.8,7253298,6831133,0.0,no
224,1990-7-29,2015,rnd,married,high,high,7.2,7986816,7525502,0.0,no
225,1962-10-23,2014,rnd,married,high,very high,7.5,6302700,5802522,3.0,no
226,1984-10-3,2008,sales,,high,very high,8.1,3898935,3577332,4.0,no
227,1992-2-25,2010,sales,married,high,very high,9.0,4480650,4179710,1.0,no
228,1986-8-13,2011,sales,single,high,high,8.33,9212750,8573987,1.0,no
229,1992-12-26,2017,rnd,single,high,very high,8.33,8760750,8201413,1.0,yes
230,1969-7-25,2015,rnd,single,high,very high,9.0,9768330,9053132,,no
231,1979-4-13,1999,rnd,married,high,very high,6.67,4712600,4456359,1.0,no
232,1962-4-1,2014,hr,married,high,high,8.67,5621460,5167258,8.0,no
233,1971-8-14,1989,sales,,high,very high,7.8,6594354,6235795,3.0,no
234,1988-12-19,2013,rnd,married,high,very high,6.67,4710800,4419136,5.0,yes
235,1978-7-15,1999,sales,married,very high,very high,8.1,7937109,7127432,5.0,no
236,1988-12-2,2008,rnd,married,very high,low,7.5,3629025,3294920,7.0,yes
237,1969-2-23,1988,sales,single,high,high,7.5,7193475,6598912,1.0,no
238,1989-6-19,2015,sales,married,high,medium,9.0,6181920,5841920,2.0,no
239,1989-9-26,2017,rnd,single,high,high,9.0,6764580,6316724,0.0,yes
240,1982-6-26,2014,rnd,,high,high,6.93,7818512,7275064,7.0,no
241,1989-10-22,2017,sales,married,high,very high,7.2,8693568,7940781,,no
242,1980-1-20,2004,rnd,,high,low,8.67,3850080,3549769,2.0,no
243,1981-10-6,2012,rnd,,high,very high,8.1,6123600,5634004,1.0,no
244,1976-6-11,1996,rnd,married,high,very high,6.67,5661200,5365557,0.0,no
245,1990-12-5,2012,rnd,,high,high,8.67,7847060,7370899,9.0,no
246,1988-1-8,2019,rnd,married,high,very high,8.67,6456320,6050342,,no
247,1987-5-28,2008,rnd,married,high,low,8.67,8639020,8075359,6.0,no
248,1984-12-12,2004,rnd,married,high,low,7.5,7463700,6944268,2.0,no
249,1976-5-7,2012,rnd,married,high,high,8.33,7892000,7245019,4.0,no
250,1984-4-6,2004,rnd,,high,high,8.33,6170500,5840511,6.0,yes
251,1982-4-30,2001,rnd,single,very high,high,8.33,6495500,5764042,0.0,no
252,1992-3-23,2015,rnd,single,high,very high,8.33,5927250,5391840,,no
253,1979-8-20,2011,rnd,single,high,low,6.93,6922032,6489810,,no
254,1992-2-10,2011,sales,,high,very high,6.67,3686800,3443033,2.0,no
255,1996-3-17,2016,rnd,married,high,high,8.67,6356480,5980880,0.0,no
256,1979-8-31,2011,rnd,,high,low,7.5,4886325,4611045,0.0,no
257,1981-3-28,1999,rnd,,high,high,7.2,4384800,3991624,0.0,no
258,1970-10-23,2020,rnd,married,high,very high,8.67,10048480,9498515,1.0,no
259,1990-10-5,2015,rnd,single,high,medium,7.2,6316272,5984151,0.0,yes
260,1989-10-21,2016,rnd,married,very high,medium,6.93,8373456,7590840,1.0,no
261,1983-7-31,2008,sales,married,high,very high,8.1,3713769,3391569,3.0,no
262,1989-9-12,2012,rnd,single,high,low,8.33,8315750,7803087,,no
263,1975-5-1,1993,sales,married,high,medium,8.33,7749500,7292960,3.0,no
264,1993-10-26,2016,rnd,single,high,high,7.5,7301250,6891872,2.0,yes
265,1992-1-15,2011,sales,married,high,medium,7.8,7393698,6729496,2.0,no
266,1990-2-22,2011,rnd,married,very high,very high,9.0,7099650,6404736,0.0,no
267,1996-9-8,2015,rnd,,high,low,8.33,8657750,8140808,1.0,no
268,1976-5-1,2000,rnd,married,high,very high,8.1,7799085,7276623,0.0,no
269,1985-7-31,2005,rnd,married,high,very high,7.2,4116096,3895973,,no
270,1966-5-22,1984,rnd,single,high,low,6.67,6623000,6166666,0.0,no
271,1974-7-3,2011,rnd,married,high,medium,7.5,7950600,7471666,1.0,yes
272,1993-12-26,2016,rnd,married,very high,very high,7.2,8305848,7420573,1.0,no
273,1984-3-5,2014,sales,married,high,very high,7.5,8937000,8316582,4.0,no
274,2000-6-25,2018,rnd,single,high,high,6.67,7888200,7252850,1.0,no
275,1984-12-5,2006,rnd,,high,very high,6.67,6312600,5778123,2.0,no
276,1986-1-30,2011,rnd,,high,medium,8.67,7459660,6818702,,no
277,1983-4-5,2013,sales,,very high,low,9.0,4895910,4358894,1.0,no
278,1995-12-16,2015,rnd,,very high,medium,7.2,7436880,6739356,1.0,no
279,1971-10-26,1993,rnd,,high,medium,6.93,8072272,7516081,,no
280,1968-5-7,2000,rnd,married,high,high,9.0,4970700,4583402,3.0,no
281,1979-4-1,2001,sales,married,very high,high,8.33,9934000,8816898,1.0,no
282,1992-5-23,2011,sales,single,high,very high,9.0,4923720,4509314,1.0,no
283,1966-10-10,2009,rnd,married,high,very high,7.5,3475800,3172797,3.0,no
284,1995-6-5,2016,rnd,married,high,low,6.93,4981808,4665051,1.0,no
285,1984-4-2,2004,rnd,single,high,very high,8.33,4226000,3986040,1.0,no
286,1977-4-10,2002,rnd,,very high,high,7.2,3649968,3281460,3.0,yes
287,1983-10-19,2011,rnd,,high,very high,8.1,7754616,7229063,9.0,no
288,1995-10-1,2016,rnd,,high,medium,8.1,4131243,3874008,,yes
289,1993-8-5,2016,rnd,single,very high,very high,8.67,6770660,6110703,1.0,no
290,1972-4-16,1999,rnd,single,high,low,7.8,3093246,2931431,9.0,no
291,1985-8-16,2011,rnd,single,high,medium,7.2,2719224,2564821,4.0,no
292,1990-7-2,2019,sales,,high,medium,8.33,8363500,7896799,1.0,no
293,1995-1-28,2013,sales,single,high,very high,6.93,4151472,3909843,,yes
294,1984-11-20,2017,rnd,married,high,very high,7.2,4632768,4368063,1.0,no
295,1979-8-12,1998,sales,married,high,medium,8.1,7334712,6838254,,no
296,2003-2-3,2021,rnd,single,high,high,7.8,5154084,5154084,1.0,yes
297,1986-12-1,2009,sales,married,high,medium,7.8,9140274,8493889,0.0,no
298,1985-1-29,2017,rnd,married,high,very high,7.8,7617402,6968623,4.0,no
299,1970-3-11,2008,rnd,,high,medium,7.5,7577100,6948917,5.0,no
300,1980-5-12,1999,sales,single,high,medium,8.33,8976750,8195699,1.0,no
301,2003-3-1,2021,sales,single,high,high,7.2,5903064,5903064,1.0,no
302,1993-1-8,2012,rnd,single,high,low,6.93,5802160,5285742,0.0,no
303,1990-10-11,2011,sales,married,high,very high,6.67,8146600,7698544,4.0,no
304,1982-12-29,2002,rnd,,high,very high,6.93,4084912,3752445,0.0,no
305,1985-12-31,2010,rnd,married,high,medium,8.1,4385178,4060725,7.0,no
306,1989-2-19,2008,sales,married,high,high,6.67,7247000,6756479,1.0,no
307,1983-2-3,2002,rnd,married,high,medium,8.33,8215500,7560739,3.0,no
308,1963-7-17,2009,rnd,,high,high,8.33,3000500,2806828,2.0,no
309,1990-10-8,2015,rnd,married,high,very high,7.2,7475112,7042690,0.0,no
310,1990-10-10,2012,hr,married,high,low,6.93,4975776,4684405,3.0,no
311,1976-10-30,1997,rnd,,high,low,8.33,9550000,8758253,1.0,no
312,1990-2-19,2018,rnd,,high,very high,9.0,3392820,3112393,0.0,no
313,1988-9-7,2009,rnd,married,high,medium,7.8,6760962,6379469,6.0,no
314,1982-4-26,2000,rnd,married,high,low,9.0,10497330,9772230,1.0,no
315,1978-5-18,2012,rnd,single,high,very high,7.8,3290040,2995029,,no
316,1972-11-29,1996,rnd,single,high,high,8.1,8719569,8210516,7.0,no
317,1969-8-4,2010,rnd,married,high,medium,7.8,8104122,7532411,,yes
318,1994-9-21,2017,rnd,single,high,medium,7.5,7469325,7041218,1.0,no
319,1989-9-4,2008,sales,married,high,medium,7.8,6079554,5755518,1.0,no
320,1994-10-5,2016,sales,single,high,high,7.2,6594480,6234735,1.0,no
321,1990-9-24,2008,sales,,high,very high,9.0,8028180,7548119,4.0,no
322,1989-3-17,2011,rnd,single,high,very high,7.8,6868134,6340011,7.0,no
323,1993-3-16,2016,rnd,married,high,very high,8.33,8185750,7676059,5.0,yes
324,1991-4-18,2010,rnd,married,high,very high,8.33,6302000,5890820,1.0,no
325,1990-1-7,2011,rnd,married,very high,high,7.8,4545216,4044866,1.0,no
326,1982-8-23,2000,rnd,married,high,very high,6.93,4523376,4196860,1.0,no
327,1982-5-12,2009,sales,married,high,high,8.1,3787398,3464822,4.0,yes
328,1988-1-23,2012,sales,single,high,very high,6.67,3749800,3497621,3.0,no
329,1974-7-25,2000,rnd,married,high,high,8.67,4228380,4003389,4.0,no
330,1978-3-9,2012,rnd,,high,high,6.67,6634400,6277819,,no
331,1994-1-17,2015,sales,married,high,medium,6.93,6238752,5837155,0.0,no
332,1967-4-16,2001,rnd,single,high,high,6.93,2508272,2366071,3.0,no
333,1978-9-22,2011,rnd,married,high,low,8.33,4240750,3924440,8.0,no
334,1976-11-19,2009,rnd,married,high,very high,8.67,7788040,7277181,9.0,no
335,1981-1-4,2015,sales,married,very high,very high,6.93,4941040,4450585,2.0,no
336,1992-12-29,2014,rnd,married,high,low,7.2,6523632,6158436,1.0,yes
337,1992-9-19,2017,rnd,single,high,very high,7.8,2894346,2659022,,no
338,1991-12-9,2011,sales,,high,high,6.93,2701088,2530530,1.0,no
339,1994-7-28,2013,sales,married,high,medium,7.8,5366556,4921188,1.0,no
340,1984-4-19,2013,rnd,,high,very high,7.2,5085936,4698324,7.0,no
341,1983-10-15,2009,rnd,,high,very high,7.5,8318475,7756877,0.0,no
342,1990-5-5,2010,rnd,single,high,very high,9.0,4175010,3898599,1.0,no
343,1992-3-12,2014,sales,,high,medium,7.2,3528144,3290565,,no
344,1986-9-20,2004,rnd,single,high,medium,6.67,5128600,4806560,0.0,no
345,1998-11-21,2017,rnd,,high,very high,7.2,7060608,6641527,,no
346,1980-4-21,2013,rnd,single,high,medium,6.67,7585600,7035429,6.0,no
347,1974-7-16,2016,sales,single,high,high,8.1,9855837,8999120,3.0,no
