PassengerId,group,Earth,Europa,Mars,CryoSleep,A,B,C,D,E,F,G,T,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,VIP,scaled_RommService,scaled_FoodCourt,scaled_ShoppingMall,scaled_Spa,scaled_VRDeck,Transported
0043_01,0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.2405796422678057,1.2315141403620988,1.9717533444924147,1.83012254884278,0
0044_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0044_02,1,1,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0044_03,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0045_01,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.851935534834211,0.0,1.6800017887972498,0.0,1.1274109482546455,0
0045_02,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0050_01,0,1,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0.0,1.7966617654420023,0.0,0.0,0.0,0.0,0
0051_01,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.1478092072873598,0.0,1.8208016022997142,1.3131866049610879,0
0052_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.3733048224778867,0.0,0.2242438242175754,2.1287337035180416,0.0,0
0053_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,2.448821686103597,0.0,0.0,1
0056_01,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0056_02,1,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0056_03,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.5163868320506055,1.5581184608589105,2.6281923932424847,1.4245783267254968,0.2978173459810155,1
0058_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0061_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.0250676225999908,1.7026604801739718,1.6166753932269056,1.8204360425131167,0.0,0
0062_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.5528344692151521,0.0,0.7136032830194116,0.8725890517453545,0
0064_01,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0064_02,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0066_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.2236906525479216,1.7091980483794265,0.0,1.6620837210187052,0
0067_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0067_02,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.3507978518427022,1.973547450114206,0.0,0.0,1
0067_03,1,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0.0,2.039419493336304,0.8783820744571478,0.0,0.0,0.8615228201083382,0
0068_01,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,1.7976824205163346,0.0,0.2242438242175754,1.3936984003216362,0.0,0
0069_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.8278479211886154,0.0,0.7108361048063275,0.4512916199214712,0.0,1
0070_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.4129318020256099,0.0,0.5206780355557714,0.0,1.7857861978867824,0
0071_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.7466096449557734,1.868258646262565,0.0,0.0,1.0711230246829821,0
0072_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,1.8891510186298175,0
0073_01,0,0,0,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.030986157725736,1.07491515278716,2.136477878983999,0.0,0.6736209953992307,0
0074_01,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,2.197982734748932,0.0,0.0,1.68792088403525,1
0076_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.3438362032940447,0.0,2.240537068517463,0.0,0.0,1
0077_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.7106519766445111,0.0,2.318397784005757,0.0,0.0,1
0078_01,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,2.1096453849883066,0.0,1.4536566199149952,2.487239751352702,0
0081_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0082_01,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,2.399319469618096,0.0,0.0,0.0,0.0,0
0082_02,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0082_03,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0084_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.7594350454418135,0.0,0.0,0.0,0.7680417263016122,1
0085_01,0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0086_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.4411617809872455,0.0,0.0,1.6266658532839904,1.6916453689511182,0
0088_01,0,0,0,1,1.0,0,0,0,0,1,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0090_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0091_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0091_02,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.5925532203302155,1.1109479265657551,1.3189060343286028,0.0,0
0092_01,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,2.105204897886494,0.0,0.9559435510107197,0
0092_02,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0092_03,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0097_01,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.7263291487348755,0.0,0.2767081898734263,1.7503336001862035,0
0098_01,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.6425389343585735,0.5206780355557714,0.8729171502402246,0.0,0
0098_02,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.931777970644086,2.220546464509298,0.0,1.2106408393676527,1
0099_01,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,0.0,1.545625831161839,1.4733568125293555,2.0269217609517676,0.9094842372468339,0.0,0
0099_02,1,1,0,0,,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0101_01,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0102_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.6929298517944869,1.222826487725485,0
0103_01,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.7680417263016122,1
0103_02,1,1,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0103_03,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0105_01,0,1,0,0,,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,2.052911422790156,0.1745834300480449,1.3215930159398952,0
0107_01,0,0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0.0,2.0097531194927227,0.3915074910131681,0.9165882988692126,0.0,0.0,0
0108_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0108_02,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.7049626979537045,0.0,1.8721507286577168,0.0,0.0,0
0108_03,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,1
0110_01,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4634740345914727,0.5796618766207391,2.0845168062602233,1.799616352809527,0
0110_02,1,0,1,0,,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,1.4114075418229495,0.0,0.0,2.014353457459567,0
0110_03,1,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0.0,2.073554805213169,2.272739725231889,0.0,1.8972467976667076,1.6530966538810332,1
0110_04,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0111_01,0,0,1,0,1.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0112_01,0,0,1,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1.0,0.0,1.9068299876371022,1.444790288726873,0.7136032830194116,0.695319375264767,1
0113_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,2.1641887389514616,0.0,0.0,1
0114_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.1866524112389434,1.2299686082353463,1.9609749818681537,1.378304364722535,0.0,0
0115_01,0,0,0,1,,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0116_01,0,0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0,1.8746897055460934,0.0,0.6258750499695162,1.6268937363264102,1
0119_01,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.8875826422996673,0.0,1.0514056298094503,2.39611700611125,0
0119_02,1,0,1,0,1.0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0120_01,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0122_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,1.6496647815434808,1.166767617847789,0
0123_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.0791047307690647,1.554880379351655,1.259064007316461,0.0,0.0,0
0126_01,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0127_01,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,1.7644757579323778,0.0,1.840919217444481,0.0,0.8725890517453545,0
0128_01,1,0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,1.0,2.0905603147799434,1.4136023592505216,0.7108361048063275,1.4497025253836795,0.18790182470910757,0
0128_02,1,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,2.060312830415287,0.43585853724275586,0.0,0.0,0.0,0
0129_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0133_01,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0133_02,1,0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0.0,2.131366475101888,0.0,0.0,0.0,0.0,0
0134_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.6419699112188565,2.132951790092469,0.0,0.0,1
0136_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0.0,1.2318896459610953,1.4681748046624825,1.5646119326821333,0.810740342260716,1.086328039471007,0
0138_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0138_02,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.7519185836123723,0.0,1.5956142242020293,1.4456202376898435,0
0139_01,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0140_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0140_02,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.6390619644858946,0.0,0.0,0.0,1.6632597967491711,0
0141_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,1.479989695234729,0.0,0.0,0
0144_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,1.4693359394747805,1.729871915834741,0.0,0.0,1
0146_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0147_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0148_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.8788598191452066,0.0,0.744921859773347,0.0,1.173996980426287,0
0149_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0151_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0152_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.7372562239496705,0
0160_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,2.2413367897348593,0.0,0.0,0.0,1.114396367598501,0
0163_01,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0163_02,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0164_01,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.0534393665072879,1.807717755565415,0.0,0.0,1.3297465638157238,1
0164_02,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0165_01,0,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,,0.0,0.0,0.0,0.0,0.0,1
0167_01,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0167_02,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.9439261115580402,0.0,1.2523933492734656,0.7785428680464044,1.3337331802320707,0
0169_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0170_01,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.3596387416985038,1.7187764963847803,0
0171_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0172_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0173_01,0,1,0,0,,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,1.6766852666636576,0.0,0.405370171130358,0.0,1
0174_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.5239995654055678,0.0,0.8969752968703016,1.1951091334536348,1.400096164206073,0
0177_01,0,0,1,0,0.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,2.248756725699849,0.0,2.421434918827528,2.0751334227827245,0
0178_01,0,0,0,1,0.0,0,0,0,1,0,0,0,0,0,0,1,0.0,2.190785517884009,0.0,1.643912835769591,0.8392845117511681,1.2955488387623304,0
0179_01,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,1.3109309377703888,2.106650241108766,0.1745834300480449,0.6500335135983297,1
0179_02,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0179_03,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0181_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.35541805240316376,1.4357744210023693,1.2257891951460278,0
0182_01,0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0183_01,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.7629347951689582,1.212298597906635,1.958704688669488,0.0,1.4765289675139597,1
0186_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,1.1113650983237304,0.0,0.0,0.0,1.86039093942142,0
0188_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0189_01,0,1,0,0,0.0,0,0,0,0,1,0,0,0,1,0,0,0.0,1.1931414603663637,0.2672454385532548,1.9391391473107487,1.3369968286921323,1.2429160496305443,0
0190_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0192_01,1,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0192_02,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0192_03,1,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.744921859773347,1.7127632467251648,0.0,0
0193_01,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0193_02,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.6727314726527263,1.7573723780396657,0.0,0
0193_03,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0195_01,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.617405843138034,0.0,2.1885946501415887,0.0,0.0,1
0196_01,0,0,0,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0.0,1.8737884355838246,0.0,2.1280397978922667,0.0,0.5275071124607182,0
0197_01,0,0,1,0,0.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,1.6734533901452762,0.0,1.6820783610037844,1.7225745974731672,0
0198_01,0,1,0,0,,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0199_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0
0200_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0201_01,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0201_02,1,0,1,0,1.0,0,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0202_01,1,0,1,0,1.0,0,1,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0202_02,1,0,1,0,0.0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,1.89664791487137,0.0,1.7070902445486242,1.651875548074477,1
0203_01,0,0,1,0,1.0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
0205_01,0,1,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0.1686130986895011,1.3554180524031636,0.0,1.7778292525927875,0
0206_01,0,0,1,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.18665241123894336,1.8122861016816179,0.8039057008383146,1.7695268931379269,1.3022981923076085,1
0207_01,0,1,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
0210_01,0,0,0,0,1.0,0,0,0,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1
0211_01,1,0,0,1,0.0,0,0,0,0,0,1,0,0,0,0,1,0.0,1.8323636643738357,0.0,1.591689858702111,0.0,0.0,1
0211_02,1,0,0,1,1.0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1
